date,ticker,adj_close
2022-10-03,SPY,349.8431701660156
2022-10-03,EWJ,45.4178466796875
2022-10-03,EWY,44.53422164916992
2022-10-03,EZU,29.954267501831055
2022-10-03,TSM,65.53378295898438
2022-10-04,SPY,360.6836242675781
2022-10-04,EWJ,46.869972229003906
2022-10-04,EWY,46.63124465942383
2022-10-04,EZU,31.574155807495117
2022-10-04,TSM,68.90274047851562
2022-10-05,SPY,359.8439025878906
2022-10-05,EWJ,46.37680435180664
2022-10-05,EWY,45.8310661315918
2022-10-05,EZU,31.125709533691406
2022-10-05,TSM,70.48312377929688
2022-10-06,SPY,356.1318054199219
2022-10-06,EWJ,45.95669174194336
2022-10-06,EWY,46.180564880371094
2022-10-06,EZU,30.439315795898438
2022-10-06,TSM,70.36009979248047
2022-10-07,SPY,346.1979675292969
2022-10-07,EWJ,45.49091339111328
2022-10-07,EWY,45.39878463745117
2022-10-07,EZU,29.734617233276367
2022-10-07,TSM,66.00694274902344
2022-10-10,SPY,343.5545349121094
2022-10-10,EWJ,45.30825424194336
2022-10-10,EWY,44.791748046875
2022-10-10,EZU,29.624792098999023
2022-10-10,TSM,63.82091522216797
2022-10-11,SPY,341.37884521484375
2022-10-11,EWJ,44.84247589111328
2022-10-11,EWY,44.718170166015625
2022-10-11,EZU,29.24956703186035
2022-10-11,TSM,60.04502868652344
2022-10-12,SPY,340.2528076171875
2022-10-12,EWJ,44.513694763183594
2022-10-12,EWY,45.178043365478516
2022-10-12,EZU,29.15804672241211
2022-10-12,TSM,60.66960906982422
2022-10-13,SPY,349.232421875
2022-10-13,EWJ,44.90640640258789
2022-10-13,EWY,45.15045166015625
2022-10-13,EZU,30.018327713012695
2022-10-13,TSM,63.04492950439453
2022-10-14,SPY,341.27386474609375
2022-10-14,EWJ,44.257965087890625
2022-10-14,EWY,44.70896911621094
2022-10-14,EZU,29.606491088867188
2022-10-14,TSM,60.489803314208984
2022-10-17,SPY,350.0436096191406
2022-10-17,EWJ,44.70548629760742
2022-10-17,EWY,46.11618423461914
2022-10-17,EZU,30.668115615844727
2022-10-17,TSM,61.40775680541992
2022-10-18,SPY,354.156494140625
2022-10-18,EWJ,44.55022048950195
2022-10-18,EWY,46.1713752746582
2022-10-18,EZU,31.098255157470703
